Player,Position,TEAM,GP,MIN,PTS,FG%,3P%,FT%,AST,BLK,STL,REB,TOV,Salary
Rodney McGruder,SG,LAC,50,749,159,39.1,27.8,53.6,30,8,23,128,21,4807693
Avery Bradley,SG,LAL,49,1186,423,44.4,36.4,83.3,63,5,43,115,47,4767000
Ed Davis,PF,UTA,25,268,33,41.2,0,45.5,8,9,10,95,13,4767000
Enes Kanter,C,BOS,51,891,416,56.6,14.3,70.8,49,38,21,394,52,4767000
Frank Kaminsky,PF,PHX,32,718,352,45.5,34.8,67,71,10,13,158,33,4767000
JaMychal Green,PF,LAC,55,1130,356,41.4,36.3,72.7,43,20,25,348,45,4767000
Justin Holiday,SG,IND,65,1617,548,44,42.4,78,87,42,75,206,40,4767000
Richaun Holmes,PF,SAC,39,1125,500,65.4,0,80,39,55,39,325,49,4767000
Robin Lopez,C,MIL,60,862,330,50.2,34.4,53.5,41,41,10,146,54,4767000
Rui Hachimura,PF,WAS,41,1217,548,47.8,27.4,82.9,70,7,34,248,41,4469160
Kevon Looney,SF,GSW,20,262,68,36.7,7.1,75,20,6,12,66,12,4464226
